"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,0.000462189504291777,0.256359423765968,0.142352332148106
"Tetanus",0.000462189504291777,NA,0.13382814978497,0.0253866631770512
"Polio IgG",0.256359423765968,0.13382814978497,NA,0.834736383716332
"Measles",0.142352332148106,0.0253866631770512,0.834736383716332,NA
