"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",1,0.260495242000608,0.0857650410968036,0.110718166611829
"Tetanus",0.260495242000608,1,0.113124392362911,0.168022108343
"Polio IgG",0.0857650410968036,0.113124392362911,1,0.015792574623005
"Measles",0.110718166611829,0.168022108343,0.015792574623005,1
