"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",1,0.09775502553518,0.0301561438596934,0.089574250609416
"Tetanus",0.09775502553518,1,0.00246662206199166,0.223705972877783
"Polio IgG",0.0301561438596934,0.00246662206199166,1,0.143130507880096
"Measles",0.089574250609416,0.223705972877783,0.143130507880096,1
