"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,0.159093426839558,0.664690581777757,0.197124336464764
"Tetanus",0.159093426839558,NA,0.971724319558033,0.00112974601884819
"Polio IgG",0.664690581777757,0.971724319558033,NA,0.0386907545679867
"Measles",0.197124336464764,0.00112974601884819,0.0386907545679867,NA
