"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",1,0.329071433992709,0.0781213476914195,0.0450283767134382
"Tetanus",0.329071433992709,1,-0.0216414064177087,0.148883054332591
"Polio IgG",0.0781213476914195,-0.0216414064177087,1,0.016803716305429
"Measles",0.0450283767134382,0.148883054332591,0.016803716305429,1
