"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,1.92562946033092e-07,0.228885530977857,0.48842018120093
"Tetanus",1.92562946033092e-07,NA,0.739245282661133,0.0213094598268053
"Polio IgG",0.228885530977857,0.739245282661133,NA,0.796070867711895
"Measles",0.48842018120093,0.0213094598268053,0.796070867711895,NA
