"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",1,0.611582763619894,0.141324006966802,-0.106345999325625
"Tetanus",0.611582763619894,1,0.242161454236799,-0.116107621372198
"Polio IgG",0.141324006966802,0.242161454236799,1,-0.00252265963380446
"Measles",-0.106345999325625,-0.116107621372198,-0.00252265963380446,1
