"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,0,0.0550061643818709,0.149656188382929
"Tetanus",0,NA,0.000896963754376312,0.115520221458655
"Polio IgG",0.0550061643818709,0.000896963754376312,NA,0.972813856728233
"Measles",0.149656188382929,0.115520221458655,0.972813856728233,NA
