"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,2.1538326677728e-14,0.174823382384077,0.000283011760279672
"Tetanus",2.1538326677728e-14,NA,0.73492097933297,0.0368545534602682
"Polio IgG",0.174823382384077,0.73492097933297,NA,0.226979245045916
"Measles",0.000283011760279672,0.0368545534602682,0.226979245045916,NA
