"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",1,0.479478517506921,0.0905740881732916,-0.239297755017161
"Tetanus",0.479478517506921,1,0.0226451441202614,-0.138946143465202
"Polio IgG",0.0905740881732916,0.0226451441202614,1,0.0806830348917203
"Measles",-0.239297755017161,-0.138946143465202,0.0806830348917203,1
