"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",1,0.706213482668668,-0.146434759031225,0.0644800476971648
"Tetanus",0.706213482668668,1,-0.0513745581826591,0.00223665223665224
"Polio IgG",-0.146434759031225,-0.0513745581826591,1,-0.0558481854401379
"Measles",0.0644800476971648,0.00223665223665224,-0.0558481854401379,1
