"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,1.70974501223498e-09,0.286058126551956,0.639998838087559
"Tetanus",1.70974501223498e-09,NA,0.709521471003819,0.987069671584955
"Polio IgG",0.286058126551956,0.709521471003819,NA,0.685489051659914
"Measles",0.639998838087559,0.987069671584955,0.685489051659914,NA
