"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,7.54951656745106e-15,0.0240890952077764,6.90785909749358e-05
"Tetanus",7.54951656745106e-15,NA,0.225368939399508,0.117382082796522
"Polio IgG",0.0240890952077764,0.225368939399508,NA,0.652240808300242
"Measles",6.90785909749358e-05,0.117382082796522,0.652240808300242,NA
