"","Pertussis","Tetanus","Polio IgG","Measles"
"Pertussis",NA,1.7876410574047e-08,0.441239000740676,0.748726331077888
"Tetanus",1.7876410574047e-08,NA,0.954888375972781,0.263108245164265
"Polio IgG",0.441239000740676,0.954888375972781,NA,0.493018795125383
"Measles",0.748726331077888,0.263108245164265,0.493018795125383,NA
